element;nb occurence;name of data element;name of the grouping item;name of registry;explanatory description;list of permitted values
6mo;115;R_AIH_PSC_Adalimumab_primary_indication_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Primary indication;radio
6mo;115;R_AIH_PSC_Vedolizumab_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Vedolizumab;radio
6mo;115;R_AIH_PSC_Vedolizumab_primary_indication_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Primary indication;radio
6mo;115;R_AIH_PSC_Ustekinumab_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Ustekinumab;radio
6mo;115;R_AIH_PSC_Ustekinumab_primary_indication_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Primary indication;radio
6mo;115;R_AIH_PBC_Treatment_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);PBC specific treatment;radio
6mo;115;R_AIH_PBC_OCA_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Obeticholic acid (OCA);radio
6mo;115;R_AIH_PBC_OCA_dose_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);OCA dose;numeric
6mo;115;R_AIH_PBC_Fibrate_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Fibrate;radio
6mo;115;R_AIH_PBC_Fenofibrate_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Fenofibrate;radio
6mo;115;R_AIH_PBC_Bezafibrate_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Bezafibrate;radio
6mo;115;R_AIH_Date_of_followup_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Date of follow-up;string
6mo;115;date_check_6mo;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);date_check_6mo;calculation
6mo;115;date_check_6mons;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Date check;calculation
6mo;115;R_AIH_Liver_related_complications_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Liver-related complications / signs of cirrhosis;radio
6mo;115;R_AIH_Liver_imaging_consistent_with_cirrhosis_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Liver imaging consistent with cirrhosis;radio
6mo;115;R_AIH_Date_imaging_consistent_cirrhosis_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Date liver imaging consistent with cirrhosis;date
6mo;115;R_AIH_Ascites_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Ascites;radio
6mo;115;R_AIH_Date_ascites_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Date ascites;date
6mo;115;R_AIH_Esophageal_or_gastric_varices_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Esophageal or gastric varices;radio
6mo;115;R_AIH_Date_endoscopy_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Date of endoscopy;date
6mo;115;R_AIH_Variceal_bleeding_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Variceal bleeding;radio
6mo;115;R_AIH_Date_variceal_bleeding_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Date of variceal bleeding;date
6mo;115;R_AIH_Hepatic_encephalopathy_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Overt encephalopathy;radio
6mo;115;R_AIH_Date_encephalopathy_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Date encephalopathy;date
6mo;115;R_AIH_Hepatorenal_syndrome_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Hepatorenal syndrome;radio
6mo;115;R_AIH_Date_hepatorenal_syndrome_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Date hepatorenal syndrome;date
6mo;115;R_AIH_Liver_transplantation_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Liver transplantation;radio
6mo;115;R_AIH_Liver_transplantation_date_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Liver transplantation date;date
6mo;115;R_AIH_Indication_liver_transplantation_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Indication of liver transplantation;radio
6mo;115;R_AIH_Hepatobillary_malignancy_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Hepatobiliary malignancy;radio
6mo;115;R_AIH_Date_hepatobiliary_malignancy_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Date of hepatobiliary malignancy;date
6mo;115;R_AIH_type_hepatobiliary_malignancy_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Type of hepatobiliary malignancy;checkbox
6mo;115;R_AIH_Other_malignancy_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Other malignancy;radio
6mo;115;R_AIH_Type_other_malignancy_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Type of other malignancy;string
6mo;115;R_AIH_Date_other_malignancy_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Date of other malignancy;date
6mo;115;R_AIH_New_diagnosis_of_PBC_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);New diagnosis of PBC;radio
6mo;115;R_AIH_New_diagnosis_of_PBC_date_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Date of new diagnosis of PBC;date
6mo;115;R_AIH_New_diagnosis_of_PSC_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);New diagnosis of PSC;radio
6mo;115;R_AIH_New_diagnosis_of_PSC_date_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Date of new diagnosis of PSC;date
6mo;115;R_AIH_MRCP_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);MRCP;radio
6mo;115;R_AIH_Weight_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Weight;numeric
6mo;115;R_AIH_Height_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Height;numeric
6mo;115;R_AIH_BMI_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);BMI;calculation
6mo;115;R_AIH_Tanner_stage_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Tanner stage (1-5 for male genital or female breast);numeric
6mo;115;R_AIH_Tanner_stage_pubic_hair_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Tanner stage (1-5 pubic hair);numeric
6mons;1;date_check_6mons;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Date check;calculation
6months;113;R_AIH_AST_6months;(AIH 6 months follow-up (+/- 6 weeks)) Lab values;Rare Liver (Auto imune);AST;numeric
6months;113;R_AIH_ALT_6months;(AIH 6 months follow-up (+/- 6 weeks)) Lab values;Rare Liver (Auto imune);ALT;numeric
6months;113;R_AIH_Total_bilirubin_mgdL_6months;(AIH 6 months follow-up (+/- 6 weeks)) Lab values;Rare Liver (Auto imune);Total bilirubin (mg/dL);numeric
6months;113;R_AIH_Total_bilirubin_umolL_6months;(AIH 6 months follow-up (+/- 6 weeks)) Lab values;Rare Liver (Auto imune);Total bilirubin (Âµmol/L);numeric
6months;113;R_AIH_ALP_6months;(AIH 6 months follow-up (+/- 6 weeks)) Lab values;Rare Liver (Auto imune);Alkaline Phosphatase;numeric
6months;113;R_AIH_yGT_6months;(AIH 6 months follow-up (+/- 6 weeks)) Lab values;Rare Liver (Auto imune);y-GT;numeric
6months;113;R_AIH_Albumin_6months;(AIH 6 months follow-up (+/- 6 weeks)) Lab values;Rare Liver (Auto imune);Albumin;numeric
6months;113;R_AIH_Creatinine_mgdL_6months;(AIH 6 months follow-up (+/- 6 weeks)) Lab values;Rare Liver (Auto imune);Creatinine (mg/dL);numeric
6months;113;R_AIH_Creatinine_umolL_6months;(AIH 6 months follow-up (+/- 6 weeks)) Lab values;Rare Liver (Auto imune);Creatinine (Âµmol/L);numeric
6months;113;R_AIH_INR_6months;(AIH 6 months follow-up (+/- 6 weeks)) Lab values;Rare Liver (Auto imune);INR;numeric
6months;113;R_AIH_Platelets_6months;(AIH 6 months follow-up (+/- 6 weeks)) Lab values;Rare Liver (Auto imune);Platelets;numeric
6months;113;R_AIH_IgG_6months;(AIH 6 months follow-up (+/- 6 weeks)) Lab values;Rare Liver (Auto imune);IgG;numeric
6months;113;R_AIH_IgM_6months;(AIH 6 months follow-up (+/- 6 weeks)) Lab values;Rare Liver (Auto imune);IgM;numeric
6months;113;R_AIH_IgA_6months;(AIH 6 months follow-up (+/- 6 weeks)) Lab values;Rare Liver (Auto imune);IgA;numeric
6months;113;R_AIH_yGlobulins_6months;(AIH 6 months follow-up (+/- 6 weeks)) Lab values;Rare Liver (Auto imune);yGlobulins;numeric
6months;113;R_AIH_Change_of_treatment_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Change of treatment regimen (other than dose change);radio
6months;113;R_AIH_Azathioprine_change_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Azathioprine;radio
6months;113;R_AIH_Azathioprine_change_reason_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Reason for change;radio
6months;113;R_AIH_Azathioprine_withdrawal_date_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Date of drug withdrawal;date
6months;113;R_AIH_Prednisolone_change_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Prednisolone/Prednisone;radio
6months;113;R_AIH_Prednisolone_change_reason_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Reason for change;radio
6months;113;R_AIH_Prednisolone_withdrawal_date_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Date of drug withdrawal;date
6months;113;R_AIH_Budesonide_change_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Budesonide;radio
6months;113;R_AIH_Budesonide_change_reason_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Reason for change;radio
6months;113;R_AIH_Budesonide_withdrawal_date_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Date of drug withdrawal;date
6months;113;R_AIH_Mercaptopurine_change_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Mercaptopurine (6-MP);radio
6months;113;R_AIH_Mercaptopurine_change_reason_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Reason for change;radio
6months;113;R_AIH_Mercaptopurine_withdrawal_date_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Date of drug withdrawal;date
6months;113;R_AIH_Tacrolimus_change_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Tacrolimus;radio
6months;113;R_AIH_Tacrolimus_change_reason_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Reason for change;radio
6months;113;R_AIH_Tacrolimus_withdrawal_date_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Date of drug withdrawal;date
6months;113;R_AIH_MMF_withdrawal_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);MMF;radio
6months;113;R_AIH_MMF_change_reason_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Reason for change;radio
6months;113;R_AIH_MMF_withdrawal_date_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Date of drug withdrawal;date
6months;113;R_AIH_Prednisolone_Prednisone_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Prednisolone/Prednisone;radio
6months;113;R_AIH_Prednisolone_dose_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Prednisolone/Prednisone dose;numeric
6months;113;R_AIH_Prednisolone_primary_indication_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Primary indication;radio
6months;113;R_AIH_Budesonide_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Budesonide;radio
6months;113;R_AIH_Budesonide_dose_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Budesonide dose;numeric
6months;113;R_AIH_Budesonide_primary_indication_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Primary indication;radio
6months;113;R_AIH_Azathioprine_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Azathioprine;radio
6months;113;R_AIH_Azathioprine_dose_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Azathioprine dose;numeric
6months;113;R_AIH_Azathioprine_primary_indication_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Primary indication;radio
6months;113;R_AIH_Azathioprine_metabolites_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Azathioprine metabolites;radio
6months;113;R_AIH_Six_TGN_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);6-TGN;numeric
6months;113;R_AIH_TGN_pmolml_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);6-TGN (pmol/0.2ml);numeric
6months;113;R_AIH_MMP_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);MMP;numeric
6months;113;R_AIH_MMP_pmol_02ml_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);MMP (pmol/0.2ml);numeric
6months;113;R_AIH_UDCA_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);UDCA;radio
6months;113;R_AIH_No_standard_treatment_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Other immunosuppression;radio
6months;113;R_AIH_Mercaptopurine_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Mercaptopurine (6-MP);radio
6months;113;R_AIH_Mercaptopurine_dose_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);6-MP dose;numeric
6months;113;R_AIH_Mercaptopurine_primary_indication_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Primary indication;radio
6months;113;R_AIH_MMF_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);MMF;radio
6months;113;R_AIH_MMF_dose_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);MMF dose;numeric
6months;113;R_AIH_MMF_primary_indication_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Primary indication;radio
6months;113;R_AIH_Tacrolimus_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Tacrolimus;radio
6months;113;R_AIH_Tacrolimus_primary_indication_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Primary indication;radio
6months;113;R_AIH_CyclosporinA_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Cyclosporin A;radio
6months;113;R_AIH_CyclosporinA_primary_indication_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Primary indication;radio
6months;113;R_AIH_Infliximab_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Infliximab;radio
6months;113;R_AIH_Infliximab_primary_indication_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Primary indication;radio
6months;113;R_AIH_Rituximab_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Rituximab;radio
6months;113;R_AIH_Rituximab_primary_indication_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Primary indication;radio
6months;113;R_AIH_Everolimus_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Everolimus;radio
6months;113;R_AIH_Everolimus_primary_indication_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Primary indication;radio
6months;113;R_AIH_Treatment_other_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Other;textarea
6months;113;R_AIH_PSC_Treatment_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);PSC specific treatment;radio
6months;113;R_AIH_PSC_Adalimumab_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Adalimumab;radio
6months;113;R_AIH_PSC_Adalimumab_primary_indication_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Primary indication;radio
6months;113;R_AIH_PSC_Vedolizumab_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Vedolizumab;radio
6months;113;R_AIH_PSC_Vedolizumab_primary_indication_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Primary indication;radio
6months;113;R_AIH_PSC_Ustekinumab_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Ustekinumab;radio
6months;113;R_AIH_PSC_Ustekinumab_primary_indication_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Primary indication;radio
6months;113;R_AIH_PBC_Treatment_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);PBC specific treatment;radio
6months;113;R_AIH_PBC_OCA_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Obeticholic acid (OCA);radio
6months;113;R_AIH_PBC_OCA_dose_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);OCA dose;numeric
6months;113;R_AIH_PBC_Fibrate_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Fibrate;radio
6months;113;R_AIH_PBC_Fenofibrate_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Fenofibrate;radio
6months;113;R_AIH_PBC_Bezafibrate_6months;(AIH 6 months follow-up (+/- 6 weeks)) Treatment at 6 months;Rare Liver (Auto imune);Bezafibrate;radio
6months;113;R_AIH_Date_of_followup_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Date of follow-up;string
6months;113;R_AIH_Liver_related_complications_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Liver-related complications / signs of cirrhosis;radio
6months;113;R_AIH_Liver_imaging_consistent_with_cirrhosis_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Liver imaging consistent with cirrhosis;radio
6months;113;R_AIH_Date_imaging_consistent_cirrhosis_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Date liver imaging consistent with cirrhosis;date
6months;113;R_AIH_Ascites_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Ascites;radio
6months;113;R_AIH_Date_ascites_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Date ascites;date
6months;113;R_AIH_Esophageal_or_gastric_varices_6months;(AIH 6 months follow-up (+/- 6 weeks))Outcome / Follow-up during past 6 months;Rare Liver (Auto imune);Esophageal or gastric varices;radio
